title,language,issn,issn2
direct research journal of veterinary medicine and animal science,Text in English,2734-2166,NA
journal of agriculture and environmental management,Text in English,2315-8719,NA
journal of business administration and management services research,Text in English,2315-8727,NA
journal of education research and behavioural science,Text in English,2315-8735,NA
journal of microbiology and immunology research,Text in English,2315-8743,NA
british journal of education learning and development psychology,Text in English,2682-6704,NA
african journal of accounting and financial research,Text in English,2682-6690,NA
british journal of management and marketing studies,Text in English,2689-5072,NA
african journal of economics and sustainable development,Text in English,2689-5080,NA
international journal of entrepreneurship and business innovation,Text in English,2689-9493,NA
african journal of social sciences and humanities research,Text in English,2689-5129,NA
international journal of literature language and linguistics,Text in English,2689-9450,NA
african journal of law political research and administration,Text in English,2689-5102,NA
african journal of environment and natural science research,Text in English,2689-9434,NA
african journal of agriculture and food science,Text in English,2689-5331,NA
african journal of biology and medical research,Text in English,2689-534X,NA
african journal of health nursing and midwifery,Text in English,2689-9418,NA
african journal of mathematics and statistics studies,Text in English,2689-5323,NA
british journal of computer networking and information technology,Text in English,2689-5315,NA
babcock university medical journal,Text in English,2465-6666,2756-4657
african journal of paediatrics,Text in English,2354-4325,NA
african journal of physiotherapy and rehabilitation sciences,Text in English,2141-8322,NA
african journal of sustainable development,Text in English,2315-6317,NA
international journal of innovative research in arts education and technology,Text in English,2682-6216,2682-5880
international journal of advanced research in tourism environmental and social science,Text in English,2682-6208,2682-5872
international journal of strategic research in public administration and organisational process,Text in English,2636-6843,2636-6851
international journal of advanced research in accounting economics and business perspective,Text in English,2636-6894,NA
international journal of strategic research in entrepreneurship engineering and biomedical research,Text in English,2636-6932,2636-6924
international journal of advanced research in environment agriculture and physical sciences,Text in English,2636-6916,2636-6908
international journal of advanced research in global politics governance and management,Text in English,2636-686X,NA
kanem journal of medical sciences,Text in English,2006-4772,2714-2426
arumaruka,Text in English,2788-7928,NA
the bioscientist,Text in English,2630-7111,2630-7103
medpulse international medical journal,Text in English,2348-2516,2348-1897
gusau journal of accounting and finance,Text in English,2756-6897,NA
journal of information education science and technology,Text in English,null,NA
physics access,Text in English,2756-3898,NA
the nigerian field,Text in English,0029-0076,NA
sols africains,Text in French | Text in English,0038-1209,NA
journal of west african languages online,Text in French | Text in English,null,NA
nigerian agricultural journal,Text in English,0300-368X,NA
ikenga,Text in English,0331-0205,NA
statesman,Text in English,null,NA
west african journal of educational and vocational measurement,Text in English,0331-0515,NA
yoruba,Text in Yoruba | Text in English,null,NA
global journal of agricultural sciences,Text in English,1596-2903,NA
global journal of geological sciences,Text in English,1596-6798,NA
global journal of educational research,Text in English,1596-6224,NA
global journal of social sciences,Text in English,1596-6216,NA
west african journal of medicine,Text in Multiple languages,0189-160X,NA
african journal of biotechnology,Text in English,1684-5315,NA
journal of cultural studies,Text in English,1595-0956,NA
journal of librarianship and information science in africa,Text in English,1595-8922,NA
african journal of livestock extension,Text in English,1596-4019,NA
agroscience journal of tropical agriculture food environmental and extension,Text in English,1119-7455,NA
international journal of agriculture and rural development,Text in English,1595-9716,NA
nigerian journal of horticultural science,Text in English,1118-2733,NA
nigeria veterinary journal,Text in English,0331-3026,NA
african journal of clinical and experimental microbiology,Text in English,1595-689X,NA
african journal of political science,Text in Arabic | Text in English,1027-0353,1726-3727
journal of modeling design and management of engineering systems,Text in English,1596-3497,NA
university of nigeria college of medicine journal,Text in English,1118-2601,NA
journal of medicine and biomedical research,Text in English,1596-6941,NA
journal of medicine and medical sciences,Text in English,1119-3999,NA
nigerian infection control association journal,Text in English,1119-1716,NA
mary slessor journal of medicine,Text in English,1119-409X,NA
nigerian journal of health and biomedical sciences,Text in English,1595-8272,NA
nigerian journal of natural products and medicine,Text in French | Text in English,1118-6267,NA
nigerian quarterly journal of hospital medicine,Text in English,0189-2657,NA
tropical journal of pharmaceutical research,Text in English,1596-5996,1596-9827
journal of applied sciences and environmental management,Text in English,1119-8362,NA
nigerian journal of clinical and counselling psychology,Text in English,1118-4035,NA
gender behaviour,Text in English,1596-9231,1117-7322
african journal of economic policy,Text in English,1116-4875,NA
journal of mining and geology,NA,null,1116-2775
global journal of engineering research,Text in English,null,NA
nigerian journal of biotechnology,Text in English,0189-1731,NA
tarikh,Text in English,0331-5134,NA
ethiope research,Text in English,1595-6180,NA
west african journal of nursing,Text in English,1117-9686,NA
african journal of traditional complementary and alternative medicines,Text in English,0189-6016,2505-0044
biokemistri,Text in English,0795-8080,NA
journal of phytomedicine and therapeutics,Text in English,null,NA
journal of community medicine and primary health care,Text in English,0794-7410,NA
journal of medical investigation and practice,Text in English,null,NA
journal of medical laboratory science,Text in English,1116-1043,NA
journal of pharmaceutical and allied sciences,Text in English,1596-8499,NA
journal of pharmacy and bioresources,Text in English,0189-8442,NA
abacus,Text in English,0001-3099,NA
african notes,Text in English,0002-0087,NA
francais au nigeria,Text in French | Text in English,0015-9387,NA
historical society of nigeria journal,Text in English,0018-2540,NA
management in nigeria,Text in English,0025-178X,NA
nigerian christian,Text in English,0029-005X,NA
nigerian geographical journal,Text in English,0029-0084,NA
nigerian journal of economic social studies,Text in English,0029-0092,NA
nigerian journal of science,Text in English,0029-0114,NA
odu,Text in English,0029-8522,NA
orita,Text in English,0030-5596,NA
second order,Text in English,0048-9964,NA
west african journal of biological and applied chemistry,Text in English,0043-2989,NA
west african journal of education,Text in English,0043-2997,NA
african journal of medicine medical sciences new series,Text in English,1116-4077,NA
ogbomoso journal of theology,Text in English,1115-232X,NA
ecwa theological seminary journal,Text in English,1117-1073,NA
ife studies in english language,Text in English,0794-9804,NA
nigerian medical practitioner,Text in English,0189-0964,NA
nigerian journal of physiological sciences,Text in English,0794-859X,NA
biotechnology and molecular biology reviews,Text in English,1538-2273,NA
international ngo journal,Text in English,1993-8225,NA
african journal of agricultural research,Text in English,1991-637X,NA
international journal of physical sciences,Text in English,1992-1950,NA
african journal for the psychological study of social issues,Text in English,null,NA
african journal of crosscultural psychology and sport facilitation,Text in English,1119-7056,NA
animal production research advances,Text in English,0794-4721,NA
international journal of natural and applied sciences,Text in English,0794-4713,NA
archives of ibadan medicine,Text in English,1467-6958,NA
bioresearch,Text in English,null,NA
scientific research and essays,Text in English,1992-2248,NA
democracy development,Text in English,1465-0142,NA
global approaches to extension practice a journal of agricultural extension,Text in English,0794-1005,NA
highland medical research journal,Text in English,1596-2407,NA
ife journal of science,Text in English,0794-4896,NA
international journal of emotional psychology and sport ethics,Text in English,1119-7048,NA
journal of applied science engineering and technology,Text in English,1596-3233,NA
journal of biomedical investigation,Text in English,1597-0043,NA
journal of philosophy and culture,Text in English,0855-6660,NA
journal of technology and education in nigeria,Text in English,1118-5570,NA
lagos historical review,Text in English,1596-5031,NA
lagos journal of library and information science,Text in English,1596-9487,NA
african journal of business management,Text in English,1993-8233,NA
african journal of biochemistry research,Text in English,1996-0778,NA
african journal of microbiology research,Text in English,1996-0808,NA
african journal of environmental science and technology,Text in English,1996-0786,NA
african journal of food science,Text in English,1996-0794,NA
african journal of plant science,Text in English,1996-0824,NA
african journal of political science and international relations,Text in English,1996-0832,NA
african journal of pure and applied chemistry,Text in English,1996-0840,NA
educational research and reviews,Text in English,1990-3839,NA
journal of cell and animal biology,Text in English,1996-0867,NA
journal of medicinal plant research,Text in English,1996-0875,NA
science world journal,Text in English,1597-6343,NA
nigerian journal of soil and environmental research,Text in English,1595-6121,NA
international journal of health research,Text in English,1596-9886,1596-9819
the nigerian postgraduate medical journal,Text in English,1117-1936,2468-6875
orient journal of medicine,Text in English,1115-0521,NA
journal of international politics and development,Text in English,1597-3522,NA
edo journal of counselling,Text in English,2006-7593,NA
bayero journal of pure and applied sciences,Text in English,2006-6996,NA
international journal of medicine and medical sciences,Text in English,2006-9723,NA
journal of dentistry and oral hygiene,Text in English,2141-2472,NA
international journal of nursing and midwifery,Text in English,2141-2456,NA
journal of parasitology and vector biology,Text in English,2141-2510,NA
journal of pharmacognosy and phytotherapy,Text in English,2141-2502,NA
journal of veterinary medicine and animal health,Text in English,2141-2529,NA
journal of toxicology and environmental health sciences,Text in English,2006-9820,NA
international journal of nutrition and metabolism,Text in English,2141-2332,NA
journal of aids and hiv research,Text in English,2141-2359,NA
journal of cancer research and experimental oncology,Text in English,2141-2243,NA
journal of cell biology and genetics,Text in English,2141-6516,NA
journal of clinical immunology and immunopathology research,Text in English,2141-2219,NA
journal of clinical medicine and research,Text in English,2141-2235,NA
journal of clinical pathology and forensic medicine,Text in English,2141-2405,NA
journal of diabetes and endocrinology,Text in English,2141-2685,NA
journal of agricultural extension,Text in English,1119-944X,2408-6851
journal of infectious diseases and immunity,Text in English,2141-2375,NA
journal of medical genetics and genomics,Text in English,2141-2278,NA
journal of physiology and pathophysiology,Text in English,2141-260X,NA
journal of public health and epidemiology,Text in English,2141-2316,NA
medical case studies,Text in English,2141-6532,NA
medical practice and reviews,Text in English,2141-2596,NA
research in pharmaceutical biotechnology,Text in English,2141-2324,NA
journal of geography and regional planning,Text in English,2070-1845,NA
journal of economics and international finance,Text in English,2006-9812,NA
journal of accounting and taxation,Text in English,2141-6664,NA
international journal of sociology and anthropology,Text in English,2006-988X,NA
journal of public administration and policy research,Text in English,2141-2480,NA
african journal of marketing management,Text in English,2141-2421,NA
journal of plant breeding and crop science,Text in English,2006-9758,NA
journal of ecology and the natural environment,Text in English,2006-9847,NA
international journal of entomology and nematology,Text in English,2006-9855,NA
journal of development and agricultural economics,Text in English,2006-9774,NA
journal of bacteriology research,Text in English,2006-9871,NA
journal of bioinformatics and sequence analysis,Text in English,2141-2464,NA
journal of general and molecular virology,Text in English,2141-6648,NA
journal of horticulture and forestry,Text in English,2006-9782,NA
international journal of livestock production,Text in English,2141-2448,NA
international journal of fisheries and aquaculture,Text in English,2006-9839,NA
journal of agricultural biotechnology and sustainable development,Text in English,2141-2340,NA
journal of agricultural extension and rural development,Text in English,2141-2170,NA
journal of biophysics and structural biology,Text in English,2141-2200,NA
journal of cereals and oilseeds,Text in English,2141-6591,NA
journal of evolutionary biology research,Text in English,2141-6583,NA
journal of soil science and environmental management,Text in English,2141-2391,NA
journal of stored products and postharvest research,Text in English,2141-6567,NA
journal of yeast and fungal research,Text in English,2141-2413,NA
international journal of plant physiology and biochemistry,Text in English,2141-2162,NA
journal of brewing and distilling,Text in English,2141-2197,NA
journal of computational biology and bioinformatics research,Text in English,2141-2227,NA
journal of developmental biology and tissue engineering,Text in English,2141-2251,NA
journal of microbiology and antimicrobials,Text in English,2141-2308,NA
international journal for biotechnology and molecular biology research,Text in English,2141-2154,NA
journal of engineering and technology research,Text in English,2006-9790,NA
journal of geography and mining research,Text in English,2006-9766,NA
african journal of mathematics and computer science research,Text in English,2006-9731,NA
international journal of water resources and environmental engineering,Text in English,2141-6613,NA
journal of chemical engineering and materials science,Text in English,2141-6605,NA
journal of civil engineering and construction technology,Text in English,2141-2634,NA
journal of electrical and electronics engineering research,Text in English,2141-2367,NA
journal of engineering and computer innovations,Text in English,2141-6508,NA
journal of environmental chemistry and ecotoxicology,Text in English,2141-226X,NA
journal of internet and information systems,Text in English,2141-6478,NA
journal of mechanical engineering research,Text in English,2141-2383,NA
journal of oceanography and marine science,Text in English,2141-2294,NA
journal of petroleum and gas engineering,Text in English,2141-2677,NA
journal of petroleum technology and alternative fuels,Text in English,2360-8560,NA
international journal of psychology and counselling,Text in English,2141-2499,NA
philosophical papers and review,Text in English,2141-663X,NA
international journal of vocational and technical education,Text in English,null,NA
african journal of history and culture,Text in English,2141-6672,NA
international journal of library and information science,Text in English,2141-2537,NA
journal of media and communication studies,Text in English,2141-2545,NA
international journal of english and literature,Text in English,2141-2626,NA
journal of african studies and development,Text in English,2141-2189,NA
journal of fine and studio art,Text in English,2141-6524,NA
journal of languages and culture,Text in English,2141-6540,NA
journal of music and dance,Text in English,2360-8579,NA
international journal of science and technology education research,Text in English,2141-6559,NA
journal of physical education and sport management,Text in English,2141-6486,NA
journal of law and conflict resolution,Text in English,2006-9804,NA
international journal of peace and development studies,Text in English,2141-6621,NA
journal of innovative research in engineering and science,Text in English,2141-8225,2251-0524
international journal of medicine and biomedical research,Text in English,2277-0941,2315-5019
research journal in engineering and applied sciences,Text in English,null,NA
topclass journal of herbal medicine,Text in English,2315-8840,NA
international journal of anatomy and physiology,Text in English,2326-7275,NA
international journal of pharmacy and pharmacology,Text in English,2326-7267,NA
international journal of public health and epidemiology,Text in English,2326-7291,NA
african journal of internal medicine,Text in English,2326-7283,NA
annals of medical and health sciences research,Text in English,2277-9205,NA
journal of hospitality management and tourism,Text in English,2141-6575,NA
journal of agriculture forestry and the social sciences,Text in English,1597-0906,NA
agrosearch,Text in English,2467-8694,NA
annals of biomedical sciences,Text in English,1596-6569,NA
animal research international,Text in English,1597-3115,NA
african journal of infectious diseases,Text in English,2006-0165,2505-0419
journal of agricultural research and development,Text in English,1596-5511,NA
nigerian journal of technological research,Text in English,0795-5111,NA
moor journal of agricultural research,Text in English,1595-4153,NA
tropical journal of medical research,Text in English,1119-0388,2505-0338
journal of sustainable agriculture and the environment,Text in English,1119-8125,NA
acta agronomica nigeriana,Text in English,0795-9982,NA
nigerian journal of basic and applied sciences,Text in English,0794-5698,NA
international journal of diseases and disorders,Text in English,2329-9835,NA
international journal of educational research and reviews,Text in English,2329-9843,NA
international journal of microbiology research and reviews,Text in English,2329-9800,NA
international journal of agricultural economics and extension,Text in English,2329-9797,NA
international journal of biodiversity and conservation,Text in English,2141-243X,NA
international journal of engineering science and technology,Text in English,2141-2820,NA
african nebula,Text in English,null,1837-7963
oye ogun journal of arts,NA,0795-9478,NA
african journal of computing and ict,Text in English,2006-1781,NA
the zoologist,Text in English,1596-972X,NA
international journal of agricultural sciences,Text in English,2167-0447,NA
international journal of management and business studies,Text in English,2167-0439,NA
ilorin journal of religious studies,Text in English,2141-7040,NA
international journal of veterinary science,Text in English,2304-3075,2305-4360
environmental technology engineering journal,Text in English,2214-725X,NA
journal of environmental science and water resources,Text in English,2277-0704,NA
net journal of agricultural science,Text in English,2315-9766,NA
international journal of agricultural policy and research,Text in English,2350-1561,NA
benin journal of postgraduate medicine,Text in English,null,NA
international journal of agriculture and biosciences,Text in English,2305-6622,2306-3599
global advanced research journal of educational research and review,Text in English,2315-5132,NA
niger delta biologia,Text in English,1118-8731,NA
african journal of cellular pathology,Text in English,2449-0776,2636-672X
bayero journal of engineering and technology,Text in English,2449-0539,NA
ilorin journal of economic policy,Text in English,2449-0512,NA
international journal of youth empowerment and entrepreneurship,Text in English,2449-0342,NA
journal of capital development in behavioural sciences,Text in English,2449-0679,NA
journal of current issues in nigerian law,Text in English,2449-0350,NA
journal of science and practice of pharmacy,Text in English,2449-0458,2449-0466
lead city journal of the social sciences,Text in English,2449-092X,2449-0911
niger delta journal of religious studies,Text in English,2449-044X,NA
tansian university journal of arts management and social sciences,Text in English,2449-0334,NA
assefn journal of national development and growth,Text in English,2449-2116,NA
direct research journal of health and pharmacology,Text in English,2449-0814,NA
direct research journal of social science and educational studies,Text in English,2449-0806,NA
international journal of agriculture and home economics education,Text in English,2449-1519,NA
joseph ayo babalola university law journal,Text in English,2449-1853,NA
journal of agriculture and food environment,Text in English,2449-1187,NA
journal of management and entrepreneurial development,Text in English,2449-2159,NA
journal of medical and biological science research,Text in English,2449-1810,NA
futa journal of research in sciences,Text in English,2489-0413,NA
african journal of paediatric nephrology,Text in English,2488-9075,NA
alhikmah journal of pure and applied sciences,Text in English,2488-8834,NA
bayero journal of evidencebased physiotherapy,Text in English,2489-0251,NA
dynamic journal of animal science and technology,Text in English,2488-9784,NA
ewemen journal of analytical and environmental chemistry,Text in English,2488-913X,NA
ewemen journal of epidemiology and clnical medicine,Text in English,2488-9180,NA
ewemen journal of folklore medicine,Text in English,2488-9156,NA
ewemen journal of herbal chemistry and pharmacology research,Text in English,2488-9164,NA
ewemen journal of plant genetics and chemotaxonomy,Text in English,2488-9172,NA
ewemen journal of microbial research,Text in English,2488-9148,NA
iiard international journal of economics and business management,Text in English,2489-0065,NA
international journal of advanced research in public policy administration and development strategies,NA,2489-012X,NA
international journal of agriculture and earth science,Text in English,2489-0081,NA
international journal of applied sciences and mathematical theory,Text in English,2489-009X,NA
international journal of basic science and technology,Text in English,2488-8648,NA
international journal of education and evaluation,Text in English,2489-0073,NA
international journal of educational benchmark,Text in English,2489-0170,2489-0162
international journal of forensic medical investigation,Text in English,2489-0278,2489-0286
international research journal of medicine and biomedical sciences,Text in English,2488-9032,NA
journal of dynamics in agricultural research,Text in English,2488-9776,NA
journal of islam in nigeria,Text in English,2489-0197,NA
journal of scientific research and essay,Text in English,2488-9253,NA
linguistic association of nigeria journal,Text in English,0189-5680,2488-9709
journal of theatre and media studies,Text in English,2488-8796,NA
kiabara,Text in English,0331-8168,2488-9695
media and communication review,Text in English,2489-0014,NA
nigerian inquiry in the humanities,Text in English,2489-0464,NA
nigerian journal of health and allied research,Text in English,2488-8710,NA
nile journal of business and economics,Text in English,2488-9571,NA
nile journal of english studies,Text in English,2488-9539,NA
nile journal of medical science,Text in English,2488-9563,NA
social sciences journal of policy review and development strategies,Text in English,2488-9636,2488-9628
uzu,Text in English,2488-9946,NA
international advanced journal of teaching and learning,Text in English,2488-9059,2505-029X
alhikmah management review,Text in English,2504-9380,NA
absu journal of environment science and technology,Text in English,2504-8716,NA
african journal of education and information management,Text in English,2504-8600,NA
african journal of health economics,Text in English,2006-4802,2504-8686
african journal of peace and human security,Text in English,2504-8872,NA
ewemen journal of chemical kinetics,Text in English,2504-8635,NA
ewemen journal of development technology and management,Text in English,2504-8651,NA
ewemen journal of natural product research,Text in English,2504-8643,NA
ewemen journal of pharmaceutics,Text in English,2504-8678,NA
ewemen journal of synthetic organic chemistry,Text in English,2504-866X,NA
ife journal of science and technology,Text in English,2504-897X,NA
igwebuike journal,Text in English,2488-9210,2504-9038
iiard international journal of geography and environmental management,Text in English,2504-8821,NA
interdisciplinary journal of african and asian studies,Text in English,2504-8694,NA
bayero international journal of islamic finance,Text in English,2504-9798,NA
international journal of engineering and modern technology,Text in English,2504-8848,NA
international journal of science and applied research,Text in English,2504-9070,NA
journal of hippocratic medicus,Text in English,2504-9224,NA
journal of accounting and financial management,Text in English,2504-8856,NA
the librarian and information manager,Text in English,2504-8619,NA
research journal of food science and nutrition,Text in English,2536-7080,NA
uniben journal of accounting,Text in English,2536-6416,NA
card international journal of agricultural research and food production,Text in English,2536-7293,2536-7307
card international journal of engineering and emerging scientific discovery,Text in English,2536-7250,2536-7269
card international journal of environmental studies and safety research,Text in English,2536-7277,2536-7285
card international journal of medical science and applied bioscience,Text in English,2536-734X,2536-7331
card international journal of sciences and advanced innovative research,Text in English,2536-7315,2536-7323
card international journal of social sciences and conflict managment,Text in English,2536-7234,2536-7242
miyetti quarterly law review,Text in English,2536-7803,2536-7811
nigerian journal of sociology and anthropology,Text in English,0331-4111,2536-7005
the savannah review,Text in English,2315-5523,2536-7846
sokoto journal of medical laboratory science,Text in English,2536-7153,NA
sospoly journal of arts and social science,Text in English,2536-717X,NA
sospoly journal of engineering entrepreneurship and environmental studies,Text in English,2536-7188,NA
sospoly journal of science and agriculture,Text in English,2536-7161,NA
sustainable human development review,Text in English,2006-8425,2536-6912
technoscience review,Text in English,2250-9046,2536-6920
archives of basic and applied medicine,Text in English,2384-6232,NA
fountain university journal of management and social sciences,Text in English,2408-6959,NA
fudma journal of arts management and social sciences,Text in English,2408-6967,NA
ijsar journal of advancement in education and computing,Text in English,2408-7661,NA
ijsar journal of advanced management and social sciences,Text in English,2408-767X,NA
ijsar journal of engineering and computing,Text in English,2408-7653,NA
ijsar journal of environmental earth and physical sciences,Text in English,2408-7645,NA
ijsar journal of law and allied disciplines,Text in English,2408-7629,NA
ijsar journal of life and applied sciences,Text in English,2408-7610,NA
ijsar journal of mathematics and applied statistics,Text in English,2408-7637,NA
international invention journal of agricultural and soil science,Text in English,2408-7254,NA
international invention journal of arts and social sciences,Text in English,2408-7238,NA
international invention journal of biochemistry and bioinformatics,Text in English,2408-722X,NA
international invention journal of medicine and medical sciences,Text in English,2408-7246,NA
international journal of environmental science and technology research,Text in English,2408-7262,NA
acoustical society of nigeria journal,Text in English,2408-6789,NA
merit journal of business and management,Text in English,2408-7041,NA
merit research journal of microbiology and biological sciences,Text in English,2408-7076,NA
pearl journal of management social science and humanities,Text in English,2449-1829,NA
research journal of educational studies and review,Text in English,2449-1837,NA
weber educational research and instructional studies,Text in English,2449-1608,NA
weber medicine and clinical case reports,Text in English,2449-1624,NA
education and science journal of policy review and curriculum development,Text in English,2315-8425,2354-1660
educational research,Text in English,2141-5161,NA
international journal of innovative research in education technology and social strategies,Text in English,2467-8163,NA
international journal of innovative research in technology basic and applied sciences,Text in English,2467-8171,NA
international journal of strategic research in education technology and humanities,Text in English,2467-818X,NA
global journal of medical research,Text in English,2467-8783,NA
international journal of agricultural and veterinary sciences,Text in English,2467-8708,NA
international journal of innovative medicine and medicinal plants research,Text in English,2467-8538,NA
international journal of innovative biochemistry and microbiology research,Text in English,2467-8554,NA
the international journal of innovative bioscience research,Text in English,2467-8457,NA
the international journal of innovative development and policy studies,Text in English,2467-8465,NA
the international journal of innovative finance and economics research,Text in English,2467-8473,NA
the international journal of innovative food nutrition and sustainable agriculture,Text in English,2467-8481,NA
international journal of innovative human ecology and nature studies,Text in English,2467-849X,NA
international journal of innovative information systems and technology research,Text in English,2467-8562,NA
international journal of innovative literature language and arts studies,Text in English,2467-8511,NA
international journal of innovative mathematics statistics and energy policy,Text in English,2467-852X,NA
international journal of innovative research in social sciences and strategic management techniques,Text in English,2467-8155,NA
journal for sustainable development law and policy,Text in English,2467-8406,2467-8392
journal of physical science and environmental studies,Text in English,2467-8716,NA
point journal of medicine and medical science research,Text in English,2467-8813,NA
research journal of engineering and technology,Text in English,2467-8775,NA
the research journal of health sciences,Text in English,2467-8252,NA
advances in scientific research and impact,Text in English,2476-8367,NA
agricultural and bionutritional research,Text in English,2476-7913,NA
biosciences research in todays world,Text in English,2476-7905,NA
contemporary journal of arts and sciences,Text in English,2476-7778,NA
funai journal of humanities and social sciences,Text in English,2476-7883,2476-7891
futo journal series,Text in English,2476-8456,NA
ideal international journal of igbo scholars forum nigeria,Text in English,2476-8421,NA
igbo scholars international journal of igbo scholars forum nigeria,Text in English,2476-843X,NA
international journal of innovative psychology and social development,Text in English,2467-8546,NA
international journal of media security and development,Text in English,2476-7808,2476-7794
journal of agricultural economics environment and social sciences,Text in English,2476-8723,NA
journal of environmental toxicology and public health,Text in English,2476-7948,NA
journal of evolution and taxonomy,Text in English,2476-7921,NA
journal of medical and biological sciences,Text in English,2476-857X,NA
achievers journal of scientific research,Text in English,2505-0141,NA
african journal of science and nature,Text in English,2536-6904,NA
agogo,Text in English,2536-6890,NA
azilo journal of humanities and social sciences,Text in English,2504-9631,NA
dynamic journal of pure and applied microbiology,Text in English,2536-6858,NA
funai journal of science and technology,Text in English,2504-9534,NA
international journal of advanced research in social sciences environmental studies and technology,Text in English,2536-6505,2536-6513
international journal of operational research in management social sciences and education,Text in English,2536-6521,2536-653X
journal of agricultural science and practice,Text in English,2536-7072,NA
journal of animal science and veterinary medicine,Text in English,2536-7099,NA
journal of applied sciences and development,Text in English,2536-6939,NA
journal of bioscience and biotechnology discovery,Text in English,2536-7064,NA
journal of economics and policy analysis,Text in English,2536-6874,NA
journal of public health pharmacology and toxicology,Text in English,2536-684X,NA
journal of renewable and alternative energy technologies,Text in English,2536-6629,2536-6610
nigerian journal of business and entrepreneurship education,Text in English,2536-6378,NA
ekpoma journal of theatre and media arts,Text in English,2006-1838,2449-1179
sokoto journal of veterinary sciences,Text in English,1595-093X,2315-6201
science journal of sociology and anthropology,Text in English,2276-6359,NA
research journal in organisational psychology and educational studies,Text in English,null,2276-8475
covenant journal of research in the built environment,Text in English,2384-5724,2384-5716
advancement in medicinal plant research,Text in English,2354-2152,NA
african educational research journal,Text in English,2354-2160,NA
african journal of advanced biotechnology,Text in English,2354-3825,NA
african journal of engineering research,Text in English,2354-2144,NA
biochemistry and biotechnology research,Text in English,2354-2136,NA
covenant journal of communication,Text in English,2354-354X,2354-3515
covenant journal of informatics and communication technology,Text in English,2354-3566,2354-3507
covenant journal of language studies,Text in English,2354-3582,2354-3523
academic research journal of agricultural science and research,Text in English,2360-7874,NA
african journal of microfinance and enterprise development,Text in English,2360-7726,NA
the caliphate journal of islamic research,Text in English,2360-9648,NA
ife journal of the humanities and social sciences,Text in English,2360-7769,NA
international journal of academic library and information science,Text in English,2360-7858,NA
international journal of academic research in education and review,Text in English,2360-7866,NA
international journal of educational policy research and review,Text in English,2360-7076,NA
international journal of english literature and culture,Text in English,2360-7831,NA
international journal of gender and development issues,Text in English,2360-8528,2545-501X
international journal of political science and development,Text in English,2360-784X,NA
journal of african culture and international understanding,Text in English,2360-7319,NA
society for peace studies and practice journal,Text in English,2360-9427,NA
kaduna journal of sociology,Text in English,2360-7734,NA
nsukka journal of the humanities,Text in English,null,2361-0034
scsr journal of agricultural sciences,Text in English,2360-9885,NA
scsr journal of business and entrepreneurship,Text in English,2360-9893,NA
scsr journal of social sciences and humanities,Text in English,2360-9877,NA
time journal of engineering and physical sciences,Text in English,2360-7335,NA
alhikmah journal of history and international relations,Text in English,2465-7336,NA
basic research journal of social and political sciences,Text in English,2465-7220,NA
bayero journal of social sciences and administration,Text in English,2465-7506,NA
coou interdisciplinary research journal,Text in English,2465-6739,NA
ilorin journal of marketing,Text in English,2465-7417,NA
international invention journal of engineering science and technology,Text in English,2465-7077,NA
international journal of innovative research in social and strategy management techniques,NA,2465-728X,NA
journal of agricultural science and food technology,Text in English,2465-7522,NA
journal of education and human development,Text in English,2465-7468,NA
kanta journal of general studies,Text in English,2465-664X,NA
osass journal,Text in English,2465-7395,NA
the journal of occupational safety and environmental health,Text in English,2476-8685,2476-8693
journal of physical science and environmental safety,Text in English,2476-8588,NA
life sciences research protocols and methods,Text in English,2476-793X,NA
molecular biology research and innovations,Text in English,2476-7956,NA
palgo journal of agriculture,Text in English,2476-8359,NA
palgo journal of education research,Text in English,2476-8332,NA
point journal of humanities and social sciences,Text in English,2476-8022,NA
point journal of botany and microbiological research,Text in English,2476-7999,NA
point journal of business and economic management,Text in English,2476-8014,NA
point journal of educational research and behavioral sciences,Text in English,2476-8006,NA
trends in industrial biotechnology research,Text in English,2476-7964,NA
world journal of biomedicine and pharmaceutical sciences,Text in English,2476-7972,NA
world journal of marine biology research,Text in English,2476-7980,NA
covenant journal of physical and life sciences,Text in English,2354-3574,2354-3485
covenant journal of politics and international affairs,Text in English,2354-3558,2354-3493
greener journal of education and training studies,Text in English,2354-225X,NA
greener journal of environment management and public safety,Text in English,2354-2276,NA
greener journal of microbiology and antimicrobials,Text in English,2354-2284,NA
international journal of advanced research in social engineering and development strategies,Text in English,2354-161X,NA
international journal of innovative agriculture and biology research,Text in English,2354-2934,NA
international journal of innovative education research,Text in English,2354-2942,NA
international journal of innovative environmental studies and research,Text in English,2354-2918,NA
international research journal of medicine and medical science,Text in English,2354-211X,NA
journal of good governance and susstainable development in africa,Text in English,2346-724X,2354-158X
microbiology research international,Text in English,2354-2128,NA
advanced journal of agricultural research,Text in English,2360-9354,NA
advanced research journal of plants and animal sciences,Text in English,2360-7947,NA
basic research journal of microbiology,Text in English,2354-4082,NA
basic research journal of soil and environmental science,Text in English,2354-4090,NA
direct research journal of chemistry and mineral science,Text in English,2354-4163,NA
direct research journal of engineering and information technology,Text in English,2354-4155,NA
direct research journal of agriculture and food science,Text in English,2354-4147,NA
global educational research journal,Text in English,2360-7963,NA
global journal of environmental sciences and technology,Text in English,2360-7955,NA
global research journal of public health and epidemiology,Text in English,2360-7920,NA
international journal of advanced studies in business strategies and management,Text in English,2354-4236,2354-4244
international journal of advanced studies in ecology development and sustainability,Text in English,2354-4252,2354-4260
