title;research_area;country;issn;issn2
journal of entrepreneurship project management;business and economics - management;kenya;2616-8464;NA
journal of environmental chemistry and ecotoxicology;biology environmental studies - toxicology and environmental safety;nigeria;2141-226X;NA
journal of environmental issues and agriculture in developing countries;agriculture environmental studies;nigeria;2141-2731;NA
journal of environmental science and water resources;environmental studies;nigeria;2277-0704;NA
journal of environmental sciences;environmental studies;egypt arab republic of egypt;1110-192X;2090-9233
journal of environmental sustainability advancement research;environmental studies;kenya;2409-966X;NA
journal of environmental toxicology and public health;public health and safety environmental studies - toxicology and environmental safety;nigeria;2476-7948;NA
journal of epizootiology and animal health in west africa;biology - zoology;nigeria;2550-7990;NA
journal of equity in sciences and sustainable development;sciences: comprehensive works;ethiopia;2523-1901;NA
journal of ethiopian law;law;ethiopia;0022-0914;NA
journal of ethiopian studies;history - history of africa social sciences: comprehensive works;ethiopia;0304-2243;NA
journal of evolution and taxonomy;biology - genetics;nigeria;2476-7921;NA
journal of evolutionary biology research;biology - genetics;nigeria;2141-6583;NA
journal of experimental research;sciences: comprehensive works;nigeria;2315-9650;NA
journal of fine and studio art;art;nigeria;2141-6524;NA
journal of fractional calculus and applications;mathematics;egypt arab republic of egypt;2090-584X;2090-5858
journal of fundamental and applied sciences;sciences: comprehensive works;algeria;1112-9867;NA
journal of gender agriculture and food security;agriculture sociology;kenya;2413-922X;NA
journal of gender and development studies;sociology;nigeria;null;NA
journal of general and molecular virology;biology - microbiology;nigeria;2141-6648;NA
journal of geography and mining research;earth sciences - geology mines and mining industry;nigeria;2006-9766;NA
journal of geography and regional planning;geography housing and urban planning;nigeria;2070-1845;NA
journal of geography education for southern africa;geography;south africa;2517-9861;NA
journal of good governance and susstainable development in africa;business and economics - management business and economics - production of goods and services;nigeria;2346-724X;2354-158X
journal of hepatology gastroenterology infectious diseases;public health and safety medical sciences - communicable diseases;egypt arab republic of egypt;1110-631X;NA
journal of higher education in africa;education - higher education;senegal;0851-7762;NA
journal of hippocratic medicus;medical sciences;nigeria;2504-9224;NA
journal of home economics research;home economics;nigeria;1118-0021;NA
journal of horticulture and forestry;forests and forestry gardening and horticulture;nigeria;2006-9782;NA
journal of hospitality management and tourism;business and economics - management travel and tourism;nigeria;2141-6575;NA
journal of humanities;humanities: comprehensive works;malawi;1016-0728;NA
journal of humanities and social policy;humanities: comprehensive works;nigeria;2695-2416;2545-5729
journal of indian ocean rim studies;geography;mauritius;1694-3317;NA
journal of infectious diseases and immunity;medical sciences - allergology and immunology;nigeria;2141-2375;NA
journal of information education science and technology;technology: comprehensive works;nigeria;null;2360-8846
journal of innovation and research in health sciences and biotechnology;medical sciences biology - biotechnology;south africa;2413-7669;NA
journal of innovation in education in africa;education;ghana;2508-1152;NA
journal of innovative applied mathematics and computational sciences;mathematics computers;algeria;2773-4196;NA
journal of innovative research in engineering and science;engineering sciences: comprehensive works;nigeria;2141-8225;2251-0524
journal of insulin resistance;medical sciences - internal medicine;south africa;2412-2785;2519-7533
journal of interdisciplinary research and innovation;education;ghana;2026-5891;NA
journal of international business innovation and strategic management;business and economics;kenya;2617-1805;NA
journal of international politics and development;political science - international relations;nigeria;1597-3522;NA
journal of internet and information systems;computers - computer systems computers - internet;nigeria;2141-6478;NA
journal of islam in nigeria;religions and theology - islamic;nigeria;2489-0197;NA
journal of land management and appraisal;housing and urban planning;nigeria;2354-1741;NA
journal of languages and culture;linguistics;nigeria;2141-6540;NA
journal of law and conflict resolution;law;nigeria;2006-9804;NA
journal of law and global policy;law - international law;nigeria;2695-2424;2579-051X
journal of law society and development;law sociology;south africa;2313-8289;2520-9515
journal of leadership and management studies;business and economics - management;south africa;2313-1055;NA
journal of librarianship and information science in africa;library and information sciences;nigeria;1595-8922;NA
journal of linguistics and language in education;education - teaching methods and curriculum linguistics;tanzania united republic of;2546-2164;NA
journal of literary studies;literary and political reviews literature;south africa;0256-4718;NA
journal of local government research and innovation;public administration - municipal government;south africa;2709-7412;2788-919X
journal of management and business administration;business and economics - management;kenya;2519-0016;NA
journal of management and entrepreneurial development;business and economics - management;nigeria;2449-2159;NA
journal of materials and environmental science;environmental studies;morocco;2028-2508;NA
journal of mauritian studies;literature;mauritius;1013-0152;NA
journal of mechanical engineering research;engineering - mechanical engineering;nigeria;2141-2383;NA
journal of media and communication studies;communications sociology;nigeria;2141-2545;NA
journal of medical and biological science research;biology medical sciences;nigeria;2449-1810;NA
journal of medical and biological sciences;medical sciences;nigeria;2476-857X;NA
journal of medical and biomedical sciences;biology medical sciences;ghana;2026-6294;NA
journal of medical and surgical research;medical sciences;morocco;2351-8200;NA
journal of medical genetics and genomics;biology - genetics;nigeria;2141-2278;NA
journal of medical investigation and practice;medical sciences;nigeria;null;NA
journal of medical laboratory and diagnostics;medical sciences - experimental medicine laboratory technique;nigeria;2141-2618;NA
journal of medical laboratory science;medical sciences - experimental medicine laboratory technique;nigeria;1116-1043;NA
journal of medicinal plant research;biology - botany alternative medicine;nigeria;1996-0875;NA
journal of medicinal plants for economic development;biology - botany pharmacy and pharmacology;south africa;2616-4809;2519-559X
journal of medicine and biomedical research;medical sciences medical sciences - dentistry biology - bioengineering;nigeria;1596-6941;NA
journal of medicine and medical research;medical sciences;nigeria;2350-1502;NA
journal of medicine and medical sciences;medical sciences;nigeria;1119-3999;NA
journal of microbiology and antimicrobials;biology - microbiology;nigeria;2141-2308;NA
journal of microbiology and immunology research;biology - microbiology;nigeria;2315-8743;NA
journal of microbiology and reviews;biology - microbiology;nigeria;2350-1510;NA
journal of mining and geology;earth sciences - geology mines and mining industry;nigeria;null;1116-2775
journal of modeling design and management of engineering systems;engineering;nigeria;1596-3497;NA
journal of modelling and simulation of systems;computers;tunisia;1737-9377;1737-9385
journal of modern methods in numerical mathematics;mathematics;egypt arab republic of egypt;2090-8296;2090-4770
journal of mother tongue biblical hermeneutics;religions and theology;ghana;2408-798X;NA
journal of mothertongue biblical hermeneutics and theology;religions and theology;ghana;2676-2838;NA
journal of multidisciplinary scientific research;sciences: comprehensive works;zambia;2307-6976;NA
journal of music and dance;dance music;nigeria;2360-8579;NA
journal of neuroscience and behavioural health;medical sciences - psychiatry and neurology;nigeria;2141-2286;NA
journal of neutral atmosphere;environmental studies meteorology;south africa;2523-1812;NA
journal of new sciences;agriculture biology - biotechnology;tunisia;2286-5314;NA
journal of new technology and materials;technology: comprehensive works;algeria;2170-161X;NA
journal of nigerian languages and literatures;linguistics;nigeria;0943-1640;NA
journal of nigerian society of physical sciences;physics sciences: comprehensive works;nigeria;2714-4704;2714-2817
journal of northwest semitic languages;linguistics history - history of the near east;south africa;0259-0131;NA
journal of nuclear and radiation physics;physics - nuclear physics;egypt arab republic of egypt;1687-420X;2090-3243
journal of nutrition and dietetics;nutrition and dietetics;kenya;2415-5195;NA
journal of oasis agriculture and sustainable development;agriculture;tunisia;2724-699X;2724-7007
journal of ocean law and governance in africa;law - maritime law;south africa;2414-8253;2521-5442
journal of oceanography and marine science;earth sciences - oceanography;nigeria;2141-2294;NA
journal of ophthalmology and related sciences;medical sciences - ophthalmology and optometry;egypt arab republic of egypt;2090-9047;2536-9466
journal of ophthalmology of eastern central and southern africa;medical sciences - ophthalmology and optometry;kenya;2308-6327;1994-6880
journal of pain sa;medical sciences;south africa;1998-2062;NA
journal of parasitology and vector biology;medical sciences - communicable diseases;nigeria;2141-2510;NA
journal of peace and security studies;law - international law political science - international relations;uganda;2311-7168;NA
journal of performing arts;dance music theater;ghana;0855-2606;NA
journal of pest control and environmental sciences;environmental studies - toxicology and environmental safety;egypt arab republic of egypt;1110-7308;NA
journal of petroleum and gas engineering;petroleum and gas;nigeria;2141-2677;NA
journal of petroleum and mining engineering;mines and mining industry petroleum and gas;egypt arab republic of egypt;1110-6506;2682-3292
journal of petroleum technology and alternative fuels;petroleum and gas;nigeria;2360-8560;NA
journal of pharmaceutical and allied sciences;pharmacy and pharmacology;nigeria;1596-8499;NA
journal of pharmacognosy and phytotherapy;pharmacy and pharmacology;nigeria;2141-2502;NA
journal of pharmacy and bioresources;biology pharmacy and pharmacology;nigeria;0189-8442;NA
journal of philosophy and culture;philosophy;nigeria;0855-6660;NA
journal of physical education and sport management;physical fitness and hygiene medical sciences - sports medicine;nigeria;2141-6486;NA
journal of physical science and environmental safety;sciences: comprehensive works;nigeria;2476-8588;NA
journal of physical science and environmental studies;sciences: comprehensive works;nigeria;2467-8716;NA
journal of physiology and pathophysiology;medical sciences;nigeria;2141-260X;NA
journal of phytomedicine and therapeutics;pharmacy and pharmacology;nigeria;null;NA
journal of plant breeding and crop science;agriculture - crop production and soil biology - genetics;nigeria;2006-9758;NA
journal of popular education in africa;education;kenya;2523-2800;NA
journal of preventive and rehabilitative medicine;public health and safety medical sciences - physical medicine and rehabilitation;zambia;2415-038X;NA
journal of productivity and development;business and economics - production of goods and services;egypt arab republic of egypt;1110-2543;NA
journal of public administration and development alternatives;public administration;south africa;2415-5446;NA
journal of public administration and personnel management;business and economics - personnel management public administration;nigeria;2437-2048;NA
journal of public administration and policy research;political science public administration;nigeria;2141-2480;NA
journal of public health and epidemiology;public health and safety medical sciences;nigeria;2141-2316;NA
journal of public health pharmacology and toxicology;public health and safety pharmacy and pharmacology;nigeria;2536-684X;NA
journal of renewable and alternative energy technologies;energy;nigeria;2536-6629;2536-6610
journal of research in economics and international finance;business and economics;nigeria;2315-5671;NA
journal of research in education and society;education;nigeria;2141-6753;NA
journal of research in environmental science and toxicology;environmental studies - toxicology and environmental safety;nigeria;2315-5698;NA
journal of research in international business and management;business and economics - management;nigeria;2251-0028;NA
journal of research in nursing and midwifery;medical sciences - nurses and nursing medical sciences - obstetrics and gynecology;nigeria;2315-568X;NA
journal of research in open distance and elearning;education - higher education;kenya;2522-6134;NA
journal of research in science education;education sciences: comprehensive works;nigeria;2545-5788;NA
journal of research innovation and implications in education;education;kenya;2520-7504;NA
journal of science and practice of pharmacy;pharmacy and pharmacology;nigeria;2449-0458;2449-0466
journal of science and technology;sciences: comprehensive works technology: comprehensive works;zambia;1027-4928;NA
journal of science education and research;education sciences: comprehensive works;ghana;2408-7912;2508-1144
journal of scientific research and essay;sciences: comprehensive works;nigeria;2488-9253;NA
journal of scientific research in education;education;egypt arab republic of egypt;2356-8356;NA
journal of scientific research in science;sciences: comprehensive works;egypt arab republic of egypt;2356-8364;NA
journal of sociology and development;sociology;tanzania united republic of;2507-7783;NA
journal of sociology psychology and anthropology in practice;social sciences: comprehensive works;nigeria;2141-274X;NA
journal of soil science and environmental management;agriculture - crop production and soil;nigeria;2141-2391;NA
journal of southern african adventism;religions and theology - protestant;south africa;2304-5280;NA
journal of stored products and postharvest research;agriculture - crop production and soil biology - entomology;nigeria;2141-6567;NA
journal of student affairs in africa;education - higher education;south africa;2307-6267;2311-1771
journal of studies in humanities and social sciences;humanities: comprehensive works;namibia;2026-7215;2026-8637
journal of studies on manufacturing;business and economics - production of goods and services;tunisia;1737-9393;1737-9407
journal of sustainable agriculture and the environment;agriculture environmental studies;nigeria;1119-8125;NA
journal of sustainable research in engineering;engineering;kenya;2310-9122;2409-1243
journal of technology and education in nigeria;agriculture - agricultural equipment education food and food industries;nigeria;1118-5570;NA
journal of technology and socioeconomic development;technology: comprehensive works;kenya;2223-9227;2616-9614
journal of the advances in agricultural research;agriculture;egypt arab republic of egypt;1110-5585;NA
journal of theatre and media studies;theater;nigeria;2488-8796;NA
journal of theology for southern africa;religions and theology;south africa;null;NA
journal of tourism hospitality and sports;travel and tourism;kenya;2312-5187;2312-5179
journal of toxicology and environmental health sciences;public health and safety environmental studies - toxicology and environmental safety;nigeria;2006-9820;NA
journal of transport and supply chain management;business and economics - marketing and purchasing transportation;south africa;1995-5235;2310-8789
journal of trends in social networks and human factor and ergonomics;sociology;nigeria;2437-2056;NA
journal of tropical microbiology and biotechnology;biology - microbiology biology - biotechnology;kenya;1814-7593;1814-7607
journal of union of arab biologists cairo a zoology;biology - zoology;egypt arab republic of egypt;1110-5372;NA
journal of union of arab biologists cairo b microbiology viruses;biology - microbiology;egypt arab republic of egypt;null;NA
journal of union of arab biologists cytogenetics ecology and toxonomy;biology - cytology and histology;egypt arab republic of egypt;1110-7456;NA
journal of union of arab biologists microbiology and viruses;biology - microbiology;egypt arab republic of egypt;1110-743X;NA
journal of union of arab biologists physiology and algae;biology - physiology;egypt arab republic of egypt;1110-7448;NA
journal of urban research;architecture housing and urban planning;egypt arab republic of egypt;2090-0694;2682-4515
journal of veterinary anatomy;veterinary science;egypt arab republic of egypt;1687-9988;NA
journal of veterinary medical research;veterinary science;egypt arab republic of egypt;2357-0512;2357-0520
journal of veterinary medical researches;veterinary science;egypt arab republic of egypt;1110-7219;NA
journal of veterinary medicine and animal health;veterinary science;nigeria;2141-2529;NA
journal of water and environmental sciences;environmental studies water resources;morocco;2509-0445;NA
journal of water science environment technologies;environmental studies water resources;morocco;2508-9250;NA
journal of west african languages online;linguistics;nigeria;null;NA
journal of yeast and fungal research;biology - botany biology - microbiology;nigeria;2141-2413;NA
journal tunisien do rl de chirurgie cervico faciale et daudiophonologie;medical sciences - otorhinolaryngology;tunisia;1737-7803;NA
julace;linguistics;namibia;2026-8297;2026-7541
jutas electronic law journals;law;south africa;1995-2171;1995-2163
jutas insurance law bulletin;law - corporate law;south africa;1029-3302;2517-9543
kabarak journal of research and innovation;sciences: comprehensive works;kenya;2305-784X;2410-8383
kaduna journal of political science;political science;nigeria;2408-5146;NA
kaduna journal of sociology;sociology;nigeria;2360-7734;NA
kalulu;anthropology literature;malawi;null;NA
kanem journal of medical sciences;medical sciences;nigeria;2006-4772;2714-2426
kano studies;history - history of africa sociology;nigeria;0567-4840;NA
kanta journal of general studies;education - higher education;nigeria;2465-664X;NA
kca journal of business management;business and economics - management;kenya;2071-2162;2072-7992
kenya birds;biology - ornithology;kenya;1023-3679;NA
kenya journal of education;education - higher education;kenya;1019-5793;NA
kenya journal of sciences series a physical and chemical sciences;sciences: comprehensive works technology: comprehensive works;kenya;null;NA
kenya journal of sciences series b biological sciences;biology;kenya;null;NA
kenya journal of sciences series c humanities and social sciences;humanities: comprehensive works social sciences: comprehensive works;kenya;null;NA
kenya national academy of science research papers;sciences: comprehensive works;kenya;null;NA
kenya nursing journal;medical sciences - nurses and nursing;kenya;0301-0333;NA
kenya past and present;history - history of africa sciences: comprehensive works;kenya;0257-8301;NA
kenyan journal of nursing midwifery;medical sciences - nurses and nursing;kenya;2518-8631;NA
kenyatta university college bureau of educational research research projects;education - higher education;kenya;null;NA
khamasin online;political science;egypt arab republic of egypt;2090-0589;NA
khindlimuka;sciences: comprehensive works;mozambique;2521-2222;NA
kiabara;humanities: comprehensive works;nigeria;0331-8168;2488-9695
kibogora polytechnic scientific journal;sciences: comprehensive works;rwanda;2616-7492;2616-7506
kioo cha lugha;linguistics literature;tanzania united republic of;2546-2210;NA
kipalapala leo;religions and theology;tanzania united republic of;null;NA
kiswahili;linguistics literature ethnic interests;tanzania united republic of;0856-048X;2546-2229
kiu journal of humanities;humanities: comprehensive works;uganda;2415-0843;2522-2821
kiu journal of social sciences;education;uganda;2413-9580;2519-0474
kizito;children and youth (for) religions and theology - roman catholic;uganda;null;NA
koedoe;biology - zoology;south africa;0075-6458;2071-0771
koers;humanities: comprehensive works philosophy religions and theology - protestant;south africa;0023-270X;2304-8557
kronos;archaeology genealogy and heraldry history - history of africa;south africa;0259-0190;2309-9585
kulambela;education;mozambique;2518-4466;NA
kumekucha;art social sciences: comprehensive works;kenya;2410-4493;NA
kurrasat muqaranat;literature;egypt arab republic of egypt;2090-1690;NA
kwani;literature;kenya;null;NA
l egypte contemporaine;statistics political science - abstracting bibliographies statistics;egypt arab republic of egypt;0013-239X;NA
la revue des sciences commerciales;business and economics;algeria;1112-3818;NA
la revue francaise;linguistics literature;south africa;1562-0859;NA
la tunisie medicale;medical sciences;tunisia;0041-4131;NA
lafia journal of economics and management sciences;business and economics business and economics - management;nigeria;2550-732X;NA
lagos education review;education;nigeria;0331-9237;NA
lagos historical review;history - history of africa;nigeria;1596-5031;NA
lagos journal of library and information science;library and information sciences;nigeria;1596-9487;NA
lagos librarian;library and information sciences;nigeria;0047-3901;NA
lajast engineering science and technology;engineering;nigeria;2545-5583;NA
lajast environmental sciences;environmental studies;nigeria;2545-5605;NA
lajast humanities and social sciences;humanities: comprehensive works social sciences: comprehensive works;nigeria;2545-5591;NA
lammergeyer;conservation;south africa;0075-7780;NA
lancaster university ghana law journal;law;ghana;2467-8899;NA
language matters;linguistics;south africa;1022-8195;1753-5395
langues et cultures;linguistics;algeria;2716-8212;2716-8093
langues et litteratures;linguistics;morocco;0851-0881;NA
larhyss journal;engineering - hydraulic engineering;algeria;1112-3680;NA
lavra oficina;humanities: comprehensive works;angola;1017-5504;NA
law democracy and development online;law;south africa;2077-4907;NA
law in society;law;nigeria;0458-8592;NA
law reports of tanzania;law - judicial systems;tanzania united republic of;0377-0885;NA
lead city journal of the social sciences;social sciences: comprehensive works;nigeria;2449-092X;2449-0911
leading brands;business and economics - marketing and purchasing;south africa;1818-975X;NA
learned journal of science agriculture and engineering;agriculture engineering sciences: comprehensive works;nigeria;2360-8250;NA
legon journal of sociology;sociology;ghana;0855-6261;NA
legon journal of the humanities;humanities: comprehensive works;ghana;0855-0050;2458-746X
les cahiers du cread;business and economics;algeria;1012-0009;2437-0568
les technologies de laboratoire;biology;morocco;1114-9981;NA
lesotho environment and environment law;environmental studies law;lesotho;null;NA
lesotho law journal;law political science - civil rights public administration;lesotho;0255-6472;NA
lewende woorde;classical studies linguistics;south africa;1021-2981;NA
lexikos;linguistics;south africa;1684-4904;2224-0039
liberia ministry of health and social welfare annual report;public health and safety;liberia;null;NA
libyan journal of agriculture;agriculture;libyan arab jamahiriya;1010-3740;NA
life sciences research protocols and methods;biology;nigeria;2476-793X;NA
likundoli archives et documents;history - history of africa;congo democratic republic of;null;NA
likundoli enquete dhistorie zairoise;history - history of africa;congo democratic republic of;null;NA
likundoli histoire et devenir;history - history of africa;congo democratic republic of;null;NA
linguistic association of nigeria journal;linguistics;nigeria;0189-5680;2488-9709
literator;linguistics literature;south africa;0258-2279;2219-8237
local revenue mobilization series;business and economics - labor and industrial relations;kenya;2523-6970;2523-6989
logos;humanities: comprehensive works;namibia;0258-901X;NA
looking back;history - history of africa;south africa;0024-6417;NA
lst clinical journal;law;tanzania united republic of;2467-4664;NA
lst review journal;law;tanzania united republic of;2467-4672;NA
madagascar revue de geographie;geography;madagascar;0047-5416;NA
madoqua;biology conservation;namibia;1011-5498;NA
magallat albasair aliqtisadiyat;business and economics;algeria;2437-0932;2600-6391
magallat albuhuth alidariyyat;business and economics public administration;egypt arab republic of egypt;1110-225X;NA
magallat albuhuth altigariyyat almuasirat;business and economics;egypt arab republic of egypt;1110-2276;NA
magallat aliqtisadiyyin alziraiyyin alarab;agriculture - agricultural economics;egypt arab republic of egypt;1687-7551;NA
magallat almuhandisin;engineering;egypt arab republic of egypt;1110-2861;NA
magallat almuhasabt waalidarat waaltamin;business and economics - accounting insurance business and economics - management;egypt arab republic of egypt;1110-628X;NA
magallat alshuruq lilulum altigariyyat;business and economics;egypt arab republic of egypt;1687-8523;NA
magallat alulum albahtat waaltatbiqiyyat;sciences: comprehensive works;libyan arab jamahiriya;2708-8251;2521-9200
magallat asyut alulum alziraiyyat;agriculture;egypt arab republic of egypt;0258-3275;NA
magallat banisuwaif liulum altarbiyyat albadaniyyat wa alriyyadiyyat;medical sciences - sports medicine;egypt arab republic of egypt;2536-9881;2536-989X
magallat dirasat andalusiyyat;history - history of europe;tunisia;0330-7549;NA
magallat gamiyyat almuhandisin almikanikiyin almisriyyat;engineering - mechanical engineering;egypt arab republic of egypt;1110-7324;NA
magallat ittihad algamiat alarabiyyat lidirasat wabuhuth alshariat alislamiyyat;religions and theology - islamic;egypt arab republic of egypt;1687-8310;NA
magallat kuliyyat altigarat lilbuhuth alilmiyat;business and economics - management;egypt arab republic of egypt;1110-7588;2090-1887
magallat kulliyyat altarbiyyat;education;egypt arab republic of egypt;2682-3055;2682-3063
magallat kulliyyat altarbiyyat bibanha;education - higher education;egypt arab republic of egypt;1110-2411;NA
magallat kulliyyat altarbiyyat gamiat tanta;education;egypt arab republic of egypt;1110-1237;NA
magallat rabitat altarbiyyat alhadithat;education;egypt arab republic of egypt;1110-3248;NA
magallat ulum zawi alihtiyagat alhasah;handicapped;egypt arab republic of egypt;2636-3623;2735-3818
majallat albuhuth altarikhiyyah;history - history of africa history - history of the near east;libyan arab jamahiriya;null;NA
majallat aldirasat alqanuniyyah;law;egypt arab republic of egypt;1110-3809;NA
majallat kulliyyat altarbiyyat bilmansura;education;egypt arab republic of egypt;1110-9777;NA
majallat kyllyat al adab;linguistics;morocco;null;NA
makerere business journal;business and economics;uganda;2219-9284;2521-5590
makerere medical journal;medical sciences;uganda;0025-1119;NA
malawi journal of agriculture natural resources and development studies;agriculture;malawi;2412-2505;NA
malawi journal of aquaculture and fisheries;fish and fisheries;malawi;1997-0455;NA
malawi journal of science;sciences: comprehensive works;malawi;null;NA
malawi journal of science and technology;sciences: comprehensive works - abstracting bibliographies statistics technology: comprehensive works - abstracting bibliographies statistics;malawi;1019-7079;NA
malawi journal of social science;social sciences: comprehensive works;malawi;1028-298X;NA
malawi law journal;law;south africa;1996-7675;NA
malawi medical journal;medical sciences;malawi;1995-7262;1995-7270
mali medical;medical sciences;mali;0464-7874;1993-0836
management economics research journal;business and economics;algeria;2676-184X;2710-8856
management in nigeria;advertising and public relations business and economics - marketing and purchasing business and economics - management business and economics - personnel management;nigeria;0025-178X;NA
management perspectives;business and economics - management;south africa;1996-7187;NA
managing development in africa;business and economics - domestic commerce business and economics - management;tanzania united republic of;2546-2040;2546-2032
mansoura dental journal;medical sciences - dentistry;egypt arab republic of egypt;1110-1482;NA
mansoura engineering journal;engineering;egypt arab republic of egypt;1110-0141;NA
mansoura journal of biology;biology;egypt arab republic of egypt;1687-5087;NA
mansoura journal of chemistry;chemistry;egypt arab republic of egypt;1687-5060;NA
mansoura journal of forensic medicine and clinical toxicology;medical sciences - forensic sciences;egypt arab republic of egypt;1110-5437;NA
mansoura journal of geology and geophysics;sciences: comprehensive works;egypt arab republic of egypt;1687-5109;NA
mansoura journal of mathematics;mathematics;egypt arab republic of egypt;1687-5079;NA
mansoura journal of pharmaceutical sciences;pharmacy and pharmacology;egypt arab republic of egypt;1110-1318;NA
mansoura journal of physics;sciences: comprehensive works;egypt arab republic of egypt;1687-5095;NA
mansoura medical journal;medical sciences;egypt arab republic of egypt;1110-211X;NA
mansoura university journal of agricultural sciences;agriculture;egypt arab republic of egypt;1110-0346;NA
mara international journal of scientific research publications;sciences: comprehensive works;kenya;2523-1456;NA
mara international journal of social sciences research publications;social sciences: comprehensive works;kenya;2523-1464;NA
mara research journal of business management;business and economics - management;kenya;2519-1381;NA
mara research journal of humanities social sciences;humanities: comprehensive works social sciences: comprehensive works;kenya;2519-1489;NA
mara research journal of information science and technology;computers;kenya;2518-8844;NA
mara research journal of kiswahili;linguistics;kenya;2520-0577;NA
mara research journal of medicine health sciences;medical sciences;kenya;2523-5680;NA
maranatha university college journal;college and alumni;ghana;2343-693X;NA
marang;literature;botswana;1816-7659;NA
margaret shaw lectures;anthropology archaeology;south africa;null;NA
maritime research journal;transportation - ships and shipping;egypt arab republic of egypt;1110-0664;NA
maritime technology;transportation - ships and shipping;egypt arab republic of egypt;1110-6328;NA
mary slessor journal of medicine;medical sciences - communicable diseases;nigeria;1119-409X;NA
mathematical and physical society of egypt proceedings;mathematics physics;egypt arab republic of egypt;1110-0613;NA
mathematics connection;mathematics;ghana;0855-4706;2508-1136
mauritius institute bulletin;sciences: comprehensive works;mauritius;1694-0016;NA
mauritius institute of education annual report;education;mauritius;null;NA
mauritius institute of education journal;education;mauritius;null;NA
media and communication review;sociology;nigeria;2489-0014;NA
mediation arguments;law - judicial systems;south africa;2306-8078;2307-1958
medical case studies;medical sciences - experimental medicine laboratory technique;nigeria;2141-6532;NA
medical journal of zambia;medical sciences;zambia;0047-651X;NA
medical practice and reviews;medical sciences;nigeria;2141-2596;NA
medical quarterly;medical sciences;malawi;1017-2920;NA
medical research centres in ghana current research projects;medical sciences;ghana;null;NA
medical university of south africa yearbook;medical sciences;south africa;null;NA
medicom;medical sciences;kenya;0253-0961;NA
medipharm medical journal;medical sciences;nigeria;0794-3733;NA
mediterranean aquaculture journal;fish and fisheries;egypt arab republic of egypt;1687-7616;1687-7187
mediterranean journal of chemistry;chemistry;morocco;2028-3997;NA
mediterranean journal of modeling and simulation;technology: comprehensive works;algeria;2335-1357;NA
medpulse international journal of anaesthesia;medical sciences - anaesthesiology;nigeria;2579-0900;2636-4654
medpulse international journal of anatomy;biology;nigeria;2550-7621;2636-4557
medpulse international journal of ayurveda;alternative medicine;nigeria;2550-7656;NA
medpulse international journal of biochemistry;biology - biochemistry;nigeria;2550-763X;2636-4573
medpulse international journal of community medicine;medical sciences;nigeria;2579-0862;2636-4743
medpulse international journal of dentistry;medical sciences - dentistry;nigeria;2579-1125;2636-4603
medpulse international journal of ear nose and throat;medical sciences - otorhinolaryngology;nigeria;2579-0854;2636-4727
medpulse international journal of forensic medicine;medical sciences - forensic sciences;nigeria;2579-0935;2636-4735
medpulse international journal of gynaecology;medical sciences - obstetrics and gynecology;nigeria;2579-0870;2636-4719
medpulse international journal of medicine;medical sciences;nigeria;2550-7583;2636-4751
medpulse international journal of microbiology;biology - microbiology;nigeria;2550-7648;2636-4646
medpulse international journal of ophthalmology;medical sciences - ophthalmology and optometry;nigeria;2550-7575;2636-4700
medpulse international journal of orthopedics;medical sciences - orthopedics and traumatology;nigeria;2579-0889;2636-4638
medpulse international journal of pathology;medical sciences;nigeria;2550-7605;2636-4697
medpulse international journal of pediatrics;medical sciences - pediatrics;nigeria;2579-0897;2636-4662
medpulse international journal of pharmacology;pharmacy and pharmacology;nigeria;2550-7567;2636-4670
medpulse international journal of physiology;biology - physiology;nigeria;2550-7613;2636-4565
medpulse international journal of physiotherapy;medical sciences - physical medicine and rehabilitation;nigeria;2579-1133;NA
medpulse international journal of psychology;psychology;nigeria;2579-0919;NA
medpulse international journal of radiology;medical sciences - radiology and nuclear medicine;nigeria;2579-0927;2636-4689
medpulse international journal of surgery;medical sciences - surgery;nigeria;2550-7591;2636-4581
medpulse international medical journal;medical sciences;nigeria;2348-2516;2348-1897
menoufia medical journal;medical sciences;egypt arab republic of egypt;1110-2098;2314-6788
menoufia nursing journal;medical sciences - nurses and nursing;egypt arab republic of egypt;2735-3974;2735-3982
mental peace;medical sciences - psychiatry and neurology;egypt arab republic of egypt;1110-1334;NA
merit journal of business and management;business and economics - management;nigeria;2408-7041;NA
merit research journal of accounting auditing economics and finance;business and economics - accounting;nigeria;2408-7068;NA
merit research journal of biochemistry and bioinformatics;biology - biochemistry;nigeria;2408-705X;NA
merit research journal of engineering pure and applied sciences;engineering;nigeria;2408-7033;NA
merit research journal of microbiology and biological sciences;biology - microbiology;nigeria;2408-7076;NA
merit research journal of pharmacy and pharmaceutical sciences;pharmacy and pharmacology;nigeria;2408-7025;NA
metamorphosis;biology - entomology;south africa;1018-6409;2307-5031
microbes and infectious diseases;biology - microbiology medical sciences - communicable diseases;egypt arab republic of egypt;2682-4140;2682-4132
microbial biosystems journal;biology - microbiology;egypt arab republic of egypt;2357-0326;2357-0334
microbiologie hygiene alimentaire;biology - microbiology health facilities and administration;tunisia;0330-8030;NA
microbiology research international;biology - microbiology;nigeria;2354-2128;NA
military history journal;history military;south africa;0026-4016;NA
military medical academy journal;medical sciences military;egypt arab republic of egypt;1110-1806;NA
military medical journal;medical sciences military;egypt arab republic of egypt;2682-2067;2682-2075
mindshift;political science business and economics - economic situation and conditions;south africa;1816-7748;NA
